100,Avatar: La Leyenda de Aang,22,Animación,4.9,61
101,Reign,42,Romance,4.5,78
102,Suits,43,Drama,4.25,134
103,The Good Place,22,Comedia,4.17,53
104,Cowboy Bebop,22,Animación,4.9,26
105,Breaking Bad,49,Drama,4.95,62
106,Malcolm in the middle,23,Comedia,4.7,151
107,HIMYM,22,Comedia,4.5,208
108,Club de Cuervos,42,Comedia,4.1,45
109,Peaky Blinders ,60,Drama,4.7,30
110,Steven Universe,22,Animación,4.3,160
111,Modern Family,22,Comedia,4.6,250
112,Merlin,42,Fantasía,4.2,65
113,Game of Thrones,60,Fantasía,4.7,73
114,That 70s Show,22,Comedia,4.7,200
115,The Queen's Gambit,60,Drama,5,7
116,Blacklist,45,Drama,4.8,152
117,Stranger Things,42,Ciencia ficcion,5,25
118,The boys,50,ficcion superheroes,4.7,16
119,Love Death + Robots,20,Ciencia ficcion,4.25,18
120,Full Metal Alchemis Brotherhood,23,Animación,4.9,64
121,Gossip Girl,42,Drama,4.8,121
122,Gilmore Girls,44,Drama,4.8,153
123,Dark,50,Ciencia ficcion,4.5,26
124,Kokoro Connect,25,Romance,4.9,13
125,Midhunter  ,60,Thriller,4.3,19
126,How I Met Your Mother,22,Comedia,5,208
127,One Punch Man,24,Animación,4.5,12
128,Glee,43,Drama,4.8,121
129,Game of thrones,60,Fantasy,5,73
130,Money Heist,59,Thriller,4.5,31
131,The Umbrella Academy,53,Acción,4.3,20
132,Trollhunters ,24,Fantasía ,4.9,52
133,Adventure Time,11,Fantasía,5,283
134,Erased,24,Animación,4.45,24
135,The Sopranos,50,Drama,5,86
136,Gotham,45,Ficcion ,4.2,82
137,For All Mankind,60,Drama,4.5,10
